filename,file_size_bytes,file_size_mb,turn_count,last_modified,ended_with_error,last_messages
f694f288-8a28-40bd-b010-35483a79b028.jsonl,72686,0.07,44,2025-07-23 14:29:37,False,
a4117e23-b563-421e-96c2-fdf170479815.jsonl,16511,0.02,29,2025-07-23 14:26:30,False,
65e5931e-1c62-44fa-b87b-ba2205c77c5b.jsonl,13353,0.01,24,2025-07-23 13:55:54,False,
8f5109ca-1d3e-4f21-9bb3-cb778ae110bd.jsonl,10888,0.01,19,2025-07-23 13:52:49,False,
c326728b-d703-4500-a6dd-7ac5cb87733f.jsonl,254,0.0,2,2025-07-23 13:45:35,False,
d4c76f62-f794-4624-adf5-f97c4f47fb57.jsonl,28009,0.03,37,2025-07-23 13:45:27,False,
102335e3-bf20-4200-b832-15dbc5f4183d.jsonl,6633,0.01,14,2025-07-23 13:39:03,False,
f41a1981-7ec4-4971-878b-4d3305ccfd4b.jsonl,82035,0.08,42,2025-07-23 13:34:17,False,
87e15581-b8d9-47f1-8d01-255ac187da91.jsonl,119,0.0,1,2025-07-23 12:53:00,False,
ba90f0d5-4d04-4d6e-b08e-05e2a3ed54e2.jsonl,3439,0.0,7,2025-07-23 12:48:16,False,
